date,R&D,ROE,DPO,DTE,Trends,Assets,NetIncomeLoss,AssetsCurrent,NoncurrentAssets,AccountsPayable,AccountsPayableCurrent,AccountsReceivableNetCurrent,InventoryNet,CostOfRevenue,Liabilities,LiabilitiesCurrent,PreconfirmationCurrentAssets,OtherAssetsNonCurrent,AssetsFairValueDisclosure,SellingGeneralAndAdministrativeExpense,RepaymentsOfNotesPayable,ResearchDevelopmentAndRelatedExpenses,ResearchAndDevelopmentExpense,SalesRevenueNet,DeferredRevenueCurrent,DebtCurrent,LongTermDebt,LongTermDebtCurrent,LongTermDebtNoneCurrent,OtherLongTermDebt,RepaymentsOfLongTermDebt,InterestExpenseDebt,LiabilitiesAndStockholdersEquity,StockholdersEquity
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0
2011q1,0,0,0,0,32.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q2,0,0,0,0,30.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q3,0,0,0,0,27.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q4,0,0,0,0,27.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q1,0,0,0,0,27.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q2,0,0,0,0,25.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q3,0,0,0,0,25.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q4,0,0,0,0,23.0,0,6168000000.0,0,0,0,0,0,0,0,0,0,0,0,0,12776000000.0,0,0,8168000000.0,0,0,0,0,0,0,0,22000000.0,0,0,0
2013q1,0,0,0,0,25.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q2,0,0,0,0,25.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q3,0,0,0,0,22.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q4,0,0.08849593087511304,0,0.0,23.333333333333332,105645000000.0,4404000000.0,35685000000.0,0,0,2274000000.0,7184000000.0,6226000000.0,0,0,17868000000.0,0,0,0,11911000000.0,0,0,7503000000.0,0,0,4521000000.0,0,2100000000.0,0,0,1775000000.0,0,105645000000.0,49765000000.0
2014q1,0,0,0,0,24.333333333333332,0,1705000000.0,0,0,0,0,0,0,0,0,0,0,0,0,2734000000.0,0,0,1574000000.0,0,0,0,0,0,0,0,3000000.0,0,0,0
2014q2,0,0,0,0,23.666666666666668,0,3709000000.0,0,0,0,0,0,0,0,0,0,0,0,0,5707000000.0,0,0,3238000000.0,0,0,0,0,0,0,0,5000000.0,0,0,0
2014q3,0,0,0,0,23.0,0,4604000000.0,0,0,0,0,0,0,0,0,0,0,0,0,8681000000.0,0,0,4897000000.0,0,0,0,0,0,0,0,7000000.0,0,0,0
2014q4,0,0.24503052603449338,0,0.0,22.666666666666668,98335000000.0,11920000000.0,33173000000.0,0,0,2625000000.0,6626000000.0,5571000000.0,0,0,18766000000.0,0,0,0,11606000000.0,0,0,7180000000.0,0,0,2704000000.0,0,1000000000.0,0,0,6617000000.0,0,98335000000.0,48647000000.0
2015q1,0,0.0199518475871454,0,0.0,23.666666666666668,108345000000.0,953000000.0,32927000000.0,0,0,2091000000.0,6670000000.0,5539000000.0,0,0,20442000000.0,0,0,0,2601000000.0,0,0,1737000000.0,0,0,4728000000.0,0,0,0,0,2902000000.0,0,108345000000.0,47765000000.0
2015q2,0,0.035286772304512576,0,0.0,22.333333333333332,102582000000.0,1639000000.0,28319000000.0,0,0,2335000000.0,6510000000.0,5306000000.0,0,0,17508000000.0,0,0,0,5226000000.0,0,0,3407000000.0,0,0,2483000000.0,0,0,0,0,2905000000.0,0,102582000000.0,46448000000.0
2015q3,0,0.07600851119836796,0,0.0,21.333333333333332,101232000000.0,3465000000.0,28567000000.0,0,0,2023000000.0,6414000000.0,5123000000.0,0,0,17583000000.0,0,0,0,7698000000.0,0,0,4906000000.0,0,0,2543000000.0,0,0,0,0,2905000000.0,0,101232000000.0,45587000000.0
2015q4,0,0.09942698540603456,0,0.0,21.333333333333332,101677000000.0,4442000000.0,29751000000.0,0,0,2533000000.0,6484000000.0,4700000000.0,0,0,19201000000.0,0,0,0,10313000000.0,0,0,6704000000.0,0,0,2583000000.0,0,2300000000.0,0,0,2906000000.0,0,101677000000.0,44676000000.0
2016q1,0,0.025681413504999317,0,0.0,21.0,98755000000.0,1125000000.0,28772000000.0,0,0,2241000000.0,6850000000.0,5102000000.0,0,0,17568000000.0,0,0,0,2318000000.0,0,0,1659000000.0,0,0,2113000000.0,0,0,0,0,851000000.0,0,98755000000.0,43806000000.0
2016q2,0,0.05373988052678921,0,0.0,21.0,96475000000.0,2330000000.0,27926000000.0,0,0,2514000000.0,6916000000.0,5248000000.0,0,0,14918000000.0,0,0,0,4776000000.0,0,0,3810000000.0,0,0,644000000.0,0,0,0,0,2351000000.0,0,96475000000.0,43357000000.0
2016q3,0,0.10321415508412582,0,0.0,20.0,98335000000.0,4515000000.0,29440000000.0,0,0,2481000000.0,7364000000.0,5244000000.0,0,0,15555000000.0,0,0,0,7169000000.0,0,0,5475000000.0,0,0,1487000000.0,0,0,0,0,2386000000.0,0,98335000000.0,43744000000.0
2016q4,0,0.09778487327878667,0,0.0,19.666666666666668,95377000000.0,3920000000.0,30614000000.0,0,0,2807000000.0,7018000000.0,4866000000.0,0,0,17204000000.0,0,0,0,9762000000.0,0,0,10124000000.0,0,0,568000000.0,0,300000000.0,0,0,2386000000.0,0,95377000000.0,40088000000.0
2017q1,0,0.038933654642668875,0,0.0,22.0,96561000000.0,1551000000.0,31530000000.0,0,0,2484000000.0,7066000000.0,5146000000.0,0,0,19823000000.0,0,0,0,2411000000.0,0,0,1796000000.0,0,0,5037000000.0,0,0,0,0,300000000.0,0,96561000000.0,39837000000.0
2017q2,0,0.08858931150698122,0,0.0,20.333333333333332,92804000000.0,3496000000.0,28167000000.0,0,0,2934000000.0,7439000000.0,5407000000.0,0,0,18758000000.0,0,0,0,4849000000.0,0,0,3545000000.0,0,0,3181000000.0,0,0,0,0,301000000.0,0,92804000000.0,39463000000.0
2017q3,0,0.08993934323363313,0,0.0,25.0,91676000000.0,3440000000.0,27919000000.0,0,0,2620000000.0,7671000000.0,5263000000.0,0,0,19467000000.0,0,0,0,7251000000.0,0,0,7927000000.0,0,0,5157000000.0,0,0,0,0,301000000.0,0,91676000000.0,38248000000.0
2017q4,0,0.06972273998136067,0,0.0,20.0,87872000000.0,2394000000.0,24766000000.0,0,0,3102000000.0,6873000000.0,5096000000.0,0,0,18614000000.0,0,0,0,9830000000.0,0,0,10208000000.0,0,0,3057000000.0,0,3000000000.0,0,0,1103000000.0,0,87872000000.0,34336000000.0
2018q1,0,0.021860520375430677,0,0.0,20.333333333333332,86041000000.0,736000000.0,24085000000.0,0,0,3162000000.0,7245000000.0,5382000000.0,0,0,16960000000.0,0,0,0,2508000000.0,0,0,3196000000.0,0,0,2055000000.0,0,0,0,0,1003000000.0,0,86041000000.0,33668000000.0
2018q2,0,0.07510221648375295,0,0.0,21.0,85040000000.0,2443000000.0,24064000000.0,0,0,3024000000.0,7287000000.0,5178000000.0,0,0,18128000000.0,0,0,0,5016000000.0,0,0,5470000000.0,0,0,3379000000.0,0,0,0,0,3008000000.0,0,85040000000.0,32529000000.0
2018q3,0,0.13549441737092097,0,0.0,20.333333333333332,85130000000.0,4393000000.0,26836000000.0,0,0,3091000000.0,7374000000.0,5416000000.0,0,0,18586000000.0,0,0,0,7459000000.0,0,0,7538000000.0,0,0,3656000000.0,0,0,0,0,3007000000.0,0,85130000000.0,32422000000.0
2018q4,0,0.2329500767761507,0,0.0,20.0,82637000000.0,6220000000.0,25875000000.0,0,0,3318000000.0,7071000000.0,5440000000.0,0,0,22206000000.0,0,0,0,10102000000.0,0,0,9752000000.0,0,0,5308000000.0,0,0,0,0,4287000000.0,0,82637000000.0,26701000000.0
2019q1,0,0.10584988561676169,0,0.0,23.0,82354000000.0,2915000000.0,25351000000.0,0,0,3018000000.0,7608000000.0,5712000000.0,0,0,18543000000.0,0,0,0,2425000000.0,0,0,1931000000.0,0,0,3175000000.0,0,0,0,0,0.0,0,82354000000.0,27539000000.0
2019q2,0,0.20209878776913334,0,0.0,22.333333333333332,83965000000.0,5585000000.0,24298000000.0,0,0,3142000000.0,7964000000.0,5847000000.0,0,0,20085000000.0,0,0,0,5138000000.0,0,0,4119000000.0,0,0,3816000000.0,0,0,0,0,0.0,0,83965000000.0,27635000000.0
2019q3,0,0.278970116998286,0,0.0,21.0,83331000000.0,7487000000.0,26142000000.0,0,0,3198000000.0,8442000000.0,5855000000.0,0,0,20684000000.0,0,0,0,7726000000.0,0,0,7324000000.0,0,0,3411000000.0,0,0,0,0,0.0,0,83331000000.0,26838000000.0
2019q4,0,0.3799359246535685,0,0.0,24.666666666666668,84397000000.0,9843000000.0,27483000000.0,0,0,3738000000.0,6778000000.0,5978000000.0,0,0,22220000000.0,0,0,0,10615000000.0,0,0,9872000000.0,0,0,3610000000.0,0,1900000000.0,0,0,0.0,0,84397000000.0,25907000000.0
2020q1,0,0.12283915283342874,0,0.0,23.666666666666668,84913000000.0,3219000000.0,26174000000.0,0,0,3572000000.0,8182000000.0,5846000000.0,0,0,23483000000.0,0,0,0,2555000000.0,0,0,2209000000.0,0,0,6361000000.0,0,0,0,0,1951000000.0,0,84913000000.0,26205000000.0
2020q2,0,0.1086028507343897,0,0.0,23.0,90615000000.0,3002000000.0,29343000000.0,0,0,3448000000.0,7577000000.0,6056000000.0,0,0,22178000000.0,0,0,0,4933000000.0,0,0,4331000000.0,0,0,4718000000.0,0,0,0,0,1952000000.0,0,90615000000.0,27642000000.0
2020q3,0,0.10076749126293429,0,0.0,21.333333333333332,89800000000.0,2941000000.0,26577000000.0,0,0,3744000000.0,8422000000.0,6128000000.0,0,0,20405000000.0,0,0,0,7383000000.0,0,0,7721000000.0,0,0,2420000000.0,0,0,0,0,1954000000.0,0,89800000000.0,29186000000.0
2020q4,0,0.2791404984792827,0,0.0,20.333333333333332,91588000000.0,7067000000.0,27764000000.0,0,0,4594000000.0,7851000000.0,6310000000.0,0,0,27327000000.0,0,0,0,10468000000.0,0,0,13558000000.0,0,0,6431000000.0,0,2300000000.0,0,0,1957000000.0,0,91588000000.0,25317000000.0
2021q1,0,0.11798107255520504,0,0.0,27.333333333333332,90847000000.0,3179000000.0,26909000000.0,0,0,4034000000.0,8235000000.0,6402000000.0,0,0,26361000000.0,0,0,0,2633000000.0,0,0,2465000000.0,0,0,7251000000.0,0,0,0,0,1153000000.0,0,90847000000.0,26945000000.0
2021q2,0,0.0464047576139845,0,0.0,21.666666666666668,90688000000.0,1545000000.0,28665000000.0,0,0,3897000000.0,7843000000.0,5499000000.0,0,0,21906000000.0,0,0,0,4468000000.0,0,0,6732000000.0,0,0,2488000000.0,0,0,0,0,1153000000.0,0,90688000000.0,33294000000.0
2021q3,0,0.2595686427892943,0,0.0,20.666666666666668,93494000000.0,9291000000.0,31058000000.0,0,0,3366000000.0,8571000000.0,5603000000.0,0,0,23728000000.0,0,0,0,6804000000.0,0,0,9177000000.0,0,0,3534000000.0,0,0,0,0,1153000000.0,0,93494000000.0,35794000000.0
2021q4,0,0,0,0,39.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
